Parameter Name,Theoretical Relationship with Redshift,Relationship Explanation,Notes,Units,Known Redshift Dependence,Type of Parameter
name,No relationship,Arbitrary identifier assigned to GRB detection,Naming convention only,Text,None,Identifier
ra,No direct relationship,Right ascension coordinate on sky,"Sky position; redshift affects distance, not angular position",Degrees,None,Positional
dec,No direct relationship,Declination coordinate on sky,"Sky position; redshift affects distance, not angular position",Degrees,None,Positional
trigger_time,No relationship,Absolute trigger time in mission elapsed time,"Instrumental timing, not affected by source redshift",Seconds (MET),None,Temporal
t90,Proportional to (1+z),"Duration containing 90% of burst energy, stretched by cosmological time dilation",Observed T90 = Intrinsic T90 × (1+z),Seconds,Linear with (1+z),Temporal
t90_error,Proportional to (1+z),"Error in T90 measurement, scaled by same factor as T90",Error propagates with time dilation,Seconds,Linear with (1+z),Temporal
t90_start,Affected by (1+z),"Start time of T90 interval, subject to time dilation",Relative timing dilated by (1+z),Seconds,Linear with (1+z),Temporal
fluence,Complex relationship with z,Total energy per unit area; depends on luminosity distance (?z²) and K-correction,Fluence ? Energy/(4?DL²) with K-correction for spectral shift,erg/cm²,Decreases with z² and K-correction,Energy
fluence_error,Complex relationship with z,Error in fluence measurement,Error propagates with fluence dependencies,erg/cm²,Complex,Energy
flux_1024,Decreases with z²,Peak flux decreases with luminosity distance squared plus K-correction effects,Flux ? Luminosity/(4?DL²) where DL ? z for nearby sources,Photons/cm²/s or erg/cm²/s,"Inverse square with distance, K-correction for spectrum",Flux
flux_1024_error,Complex relationship with z,Error in peak flux measurement,Error propagates with flux dependencies,Photons/cm²/s or erg/cm²/s,Complex,Flux
flux_1024_time,Affected by (1+z),"Time interval over which 1024ms flux measured, dilated",Observational time interval stretched by time dilation,Seconds,Linear with (1+z),Temporal
flux_64,Decreases with z²,Peak flux decreases with luminosity distance squared plus K-correction effects,Flux ? Luminosity/(4?DL²) where DL ? z for nearby sources,Photons/cm²/s or erg/cm²/s,"Inverse square with distance, K-correction for spectrum",Flux
flux_64_error,Complex relationship with z,Error in peak flux measurement,Error propagates with flux dependencies,Photons/cm²/s or erg/cm²/s,Complex,Flux
flnc_band_ampl,Complex relationship with z,Band function normalization amplitude for fluence spectrum,Amplitude depends on energy scale and distance; affected by K-correction,Photons/keV/cm²,"Decreases with distance, K-correction",Spectral
flnc_band_ampl_pos_err,Complex relationship with z,Spectral amplitude parameter affected by distance,Normalization decreases with luminosity distance,Photons/keV/cm² or similar,Decreases with distance,Spectral
flnc_band_ampl_neg_err,Complex relationship with z,Spectral amplitude parameter affected by distance,Normalization decreases with luminosity distance,Photons/keV/cm² or similar,Decreases with distance,Spectral
flnc_band_epeak,"Shifts as Epeak,obs = Epeak,rest/(1+z)",Observed peak energy redshifted from rest frame,Key parameter in Amati relation; redshifted to lower energies,keV,Inverse linear with (1+z),Spectral
flnc_band_epeak_pos_err,Scales with (1+z),Error in peak energy measurement,Error propagates with redshift scaling of Epeak,keV,Scales with redshift,Spectral
flnc_band_epeak_neg_err,Scales with (1+z),Error in peak energy measurement,Error propagates with redshift scaling of Epeak,keV,Scales with redshift,Spectral
flnc_band_alpha,No direct relationship,Low-energy power-law index of Band function for fluence,"Intrinsic spectral shape parameter, not affected by redshift",Dimensionless,None,Spectral
flnc_band_alpha_pos_err,No direct relationship,Error in spectral index measurement,Intrinsic parameter errors not affected by redshift,Dimensionless,None,Spectral
flnc_band_alpha_neg_err,No direct relationship,Error in spectral index measurement,Intrinsic parameter errors not affected by redshift,Dimensionless,None,Spectral
flnc_band_beta,No direct relationship,High-energy power-law index of Band function for fluence,"Intrinsic spectral shape parameter, not affected by redshift",Dimensionless,None,Spectral
flnc_band_beta_pos_err,No direct relationship,Error in spectral index measurement,Intrinsic parameter errors not affected by redshift,Dimensionless,None,Spectral
