Parameter Name,Theoretical Relationship with Redshift,Relationship Explanation,Notes,Units,Known Redshift Dependence,Type of Parameter
name,No theoretical relationship,Identifier/name parameters have no physical relationship with redshift,Names and identifiers are arbitrary labels,N/A,None,Identifier
ra,No direct relationship,Sky coordinates are independent of redshift - represent position on sky,"Coordinates reflect observer frame position, not cosmological distance",degrees,None,Positional
dec,No direct relationship,Sky coordinates are independent of redshift - represent position on sky,"Coordinates reflect observer frame position, not cosmological distance",degrees,None,Positional
trigger_time,No theoretical relationship,"Time parameters represent detector/analysis timing, not cosmological effects",Times are in detector/analysis reference frame,seconds or timestamp,None,Temporal/Technical
t90,Weak positive correlation,Duration shows (1+z) time dilation effect but intrinsic scatter dominates. Some evidence of evolution with redshift,Research shows marginal redshift dependence; time dilation expected but observational scatter large,seconds,(1+z) time dilation,Temporal
t90_error,Weak positive correlation,Duration shows (1+z) time dilation effect but intrinsic scatter dominates. Some evidence of evolution with redshift,Research shows marginal redshift dependence; time dilation expected but observational scatter large,seconds,(1+z) time dilation,Temporal
t90_start,Weak positive correlation,Duration shows (1+z) time dilation effect but intrinsic scatter dominates. Some evidence of evolution with redshift,Research shows marginal redshift dependence; time dilation expected but observational scatter large,seconds,(1+z) time dilation,Temporal
fluence,Inverse square law with scatter,"Follows cosmological dimming: flux ? 1/(1+z)^2, with additional k-correction factor. Large intrinsic scatter observed",Research shows weak correlation due to large intrinsic scatter in GRB luminosities,erg cm^-2 s^-1 or ph cm^-2 s^-1,"(1+z)^-2 for flux, additional (1+z)^-1 k-correction",Observational
fluence_error,Inverse square law with scatter,"Flux/fluence errors scale with the primary measurement, following inverse square dimming",Error propagation follows same cosmological dimming as primary parameter,Same as primary flux/fluence parameter,"(1+z)^-2 for flux, additional (1+z)^-1 k-correction",Observational Error
flux_1024,Inverse square law with scatter,"Follows cosmological dimming: flux ? 1/(1+z)^2, with additional k-correction factor. Large intrinsic scatter observed",Research shows weak correlation due to large intrinsic scatter in GRB luminosities,erg cm^-2 s^-1 or ph cm^-2 s^-1,"(1+z)^-2 for flux, additional (1+z)^-1 k-correction",Observational
flux_1024_error,Inverse square law with scatter,"Flux/fluence errors scale with the primary measurement, following inverse square dimming",Error propagation follows same cosmological dimming as primary parameter,Same as primary flux/fluence parameter,"(1+z)^-2 for flux, additional (1+z)^-1 k-correction",Observational Error
flux_1024_time,Inverse square law with scatter,"Follows cosmological dimming: flux ? 1/(1+z)^2, with additional k-correction factor. Large intrinsic scatter observed",Research shows weak correlation due to large intrinsic scatter in GRB luminosities,erg cm^-2 s^-1 or ph cm^-2 s^-1,"(1+z)^-2 for flux, additional (1+z)^-1 k-correction",Observational
