Parameter,Category,Relationship_with_Redshift,Description
name,Identifier,None,Identifier/catalog parameter with no physical relationship to redshift
ra,Position,None,"Coordinate parameters (right ascension, declination, galactic coordinates) have no direct physical relationship to redshift, though they can be used for statistical clustering analyses"
dec,Position,None,"Coordinate parameters (right ascension, declination, galactic coordinates) have no direct physical relationship to redshift, though they can be used for statistical clustering analyses"
trigger_time,Temporal Metadata,None,Observational timing parameters with no direct relationship to redshift
t90,Duration,Strong inverse correlation,Duration parameters show strong inverse correlation with redshift due to cosmological time dilation effect: T_observed = T_intrinsic × (1+z)
t90_error,Duration,Strong inverse correlation,Duration parameters show strong inverse correlation with redshift due to cosmological time dilation effect: T_observed = T_intrinsic × (1+z)
t90_start,Duration,Strong inverse correlation,Duration parameters show strong inverse correlation with redshift due to cosmological time dilation effect: T_observed = T_intrinsic × (1+z)
fluence,Energy,Strong inverse correlation,Fluence (time-integrated flux) decreases with redshift due to both luminosity distance effects and cosmological time dilation
fluence_error,Uncertainty,Moderate correlation,Fluence measurement uncertainties increase with redshift due to lower signal-to-noise ratios
flux_1024,Flux/Luminosity,Strong inverse correlation,Flux decreases with redshift due to luminosity distance relationship: F ∝ L/(4πd_L²) where d_L increases with redshift
flux_1024_error,Uncertainty,Moderate correlation,Flux measurement uncertainties generally increase with redshift due to lower signal-to-noise ratios
flux_1024_time,Flux/Luminosity,Strong inverse correlation,Flux decreases with redshift due to luminosity distance relationship: F ∝ L/(4πd_L²) where d_L increases with redshift
flux_64,Flux/Luminosity,Strong inverse correlation,Flux decreases with redshift due to luminosity distance relationship: F ∝ L/(4πd_L²) where d_L increases with redshift
flux_64_error,Uncertainty,Moderate correlation,Flux measurement uncertainties generally increase with redshift due to lower signal-to-noise ratios
flnc_band_ampl,Spectral Normalization,Strong inverse correlation,Spectral amplitude decreases with redshift due to luminosity distance effects in observed frame
flnc_band_ampl_pos_err,Spectral Normalization,Strong inverse correlation,Spectral amplitude decreases with redshift due to luminosity distance effects in observed frame
flnc_band_ampl_neg_err,Spectral Normalization,Strong inverse correlation,Spectral amplitude decreases with redshift due to luminosity distance effects in observed frame
flnc_band_epeak,Spectral Energy,Strong correlation,"Peak energy shows strong correlation with redshift through Amati relation: E_peak,intrinsic = E_peak,observed × (1+z), fundamental for GRB cosmology"
flnc_band_epeak_pos_err,Spectral Energy,Strong correlation,"Peak energy shows strong correlation with redshift through Amati relation: E_peak,intrinsic = E_peak,observed × (1+z), fundamental for GRB cosmology"
flnc_band_epeak_neg_err,Spectral Energy,Strong correlation,"Peak energy shows strong correlation with redshift through Amati relation: E_peak,intrinsic = E_peak,observed × (1+z), fundamental for GRB cosmology"
flnc_band_alpha,Spectral Index,Weak to moderate correlation,Spectral indices may show weak evolution with redshift due to selection effects and possible intrinsic evolution of GRB populations
flnc_band_alpha_pos_err,Uncertainty,Weak to moderate correlation,Spectral indices may show weak evolution with redshift due to selection effects and possible intrinsic evolution of GRB populations
flnc_band_alpha_neg_err,Uncertainty,Weak to moderate correlation,Spectral indices may show weak evolution with redshift due to selection effects and possible intrinsic evolution of GRB populations
